# {"t_start": 1602725079.5401027, "env_id": "goal-yumi-pegtransfer-v0"} 
r,l,t
-50,50,35.586181
-50,50,92.190668
-50,50,146.448257
-50,50,200.63203
-50,50,254.876231
-50,50,309.223816
-50,50,363.441682
-50,50,417.696322
-50,50,473.102043
-50,50,527.48218
-50,50,581.972205
-50,50,636.223513
-50,50,690.434695
-50,50,744.790052
-50,50,799.145508
-50,50,853.495908
-50,50,907.955035
-50,50,962.276961
-50,50,1016.576113
-50,50,1071.078963
-48,50,1125.790155
-49,50,1180.243029
-50,50,1234.815611
-50,50,1289.108696
-50,50,1343.602531
-50,50,1398.09289
-50,50,1452.456339
-50,50,1506.670897
-50,50,1560.845618
-49,50,1615.081297
-49,50,1669.380956
-47,50,1723.579281
-50,50,1777.780201
-50,50,1832.061679
-48,50,1886.291044
-49,50,1940.552455
-50,50,1994.820461
-50,50,2049.009152
-50,50,2103.246638
-47,50,2157.587584
-49,50,2212.024857
-48,50,2266.440671
-50,50,2320.802284
-49,50,2375.015122
-47,50,2429.250782
-48,50,2483.453263
-49,50,2537.642594
-50,50,2591.812661
-49,50,2646.097657
-50,50,2700.580606
-48,50,2755.239134
-45,50,2807.033107
-50,50,2858.819805
-49,50,2910.608836
-48,50,2962.403691
-44,50,3014.199536
-48,50,3065.998826
-49,50,3117.796599
-49,50,3169.585571
-39,50,3221.374226
-49,50,3273.208364
-47,50,3327.44904
-50,50,3381.622547
-50,50,3435.867679
-50,50,3490.077149
-48,50,3544.282541
-49,50,3598.515917
-50,50,3652.699171
-48,50,3706.937474
-46,50,3761.111152
-49,50,3815.313119
-47,50,3869.530069
-50,50,3923.747465
-49,50,3977.988074
-48,50,4032.190873
-49,50,4086.351648
-48,50,4140.538343
-49,50,4194.789718
-48,50,4248.980742
-48,50,4303.149916
-50,50,4357.36
-50,50,4411.539232
-47,50,4465.738825
-47,50,4519.913129
-50,50,4574.124897
-50,50,4628.323129
-49,50,4682.526828
-46,50,4736.715109
-50,50,4790.920167
-48,50,4845.079808
-50,50,4899.288628
-47,50,4953.467916
-48,50,5007.684327
-49,50,5061.908349
-50,50,5116.087279
-50,50,5170.321428
-48,50,5224.532916
-49,50,5278.723598
-49,50,5332.953129
-49,50,5387.131884
-49,50,5441.330976
-49,50,5495.560073
-48,50,5549.736225
-48,50,5603.908305
-48,50,5658.07882
-47,50,5712.278908
-49,50,5766.468755
-50,50,5820.694447
-48,50,5874.883669
-49,50,5929.086704
-45,50,5983.312633
-34,50,6035.103418
-44,50,6086.888638
-45,50,6138.674705
-46,50,6190.463291
-49,50,6242.245226
-42,50,6294.048123
-43,50,6345.833665
-37,50,6397.615109
-43,50,6449.404582
-49,50,6501.188827
-48,50,6556.093346
-48,50,6610.721084
-47,50,6664.878949
-49,50,6719.074716
-49,50,6773.933257
-48,50,6828.320029
-50,50,6882.701274
-45,50,6936.89226
-48,50,6991.073149
